XL2 Broadband Logging:		$FILENAME                                                     
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Type:       	NTi Audio M4260, S/N: 3530, Factory adjusted 
	Mic Sensitivity:	28.8 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-25, 09:12:14
	End:            	--------------------

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-25  	09:17:41  	00:05:27  	48.6    	58.8    
	2017-06-25  	09:17:42  	00:05:28  	48.8    	58.8    
	2017-06-25  	09:17:43  	00:05:29  	48.3    	58.8    
	2017-06-25  	09:17:44  	00:05:30  	48.9    	58.8    
	2017-06-25  	09:17:45  	00:05:31  	49.0    	58.8    
	2017-06-25  	09:17:46  	00:05:32  	48.8    	58.8    
	2017-06-25  	09:17:47  	00:05:33  	48.3    	58.8    
	2017-06-25  	09:17:48  	00:05:34  	48.4    	58.7    
	2017-06-25  	09:17:49  	00:05:35  	47.8    	58.7    
	2017-06-25  	09:17:50  	00:05:36  	48.7    	58.7    
	2017-06-25  	09:17:51  	00:05:37  	48.1    	58.7    
	2017-06-25  	09:17:52  	00:05:38  	48.2    	58.7    
	2017-06-25  	09:17:53  	00:05:39  	48.2    	58.7    
	2017-06-25  	09:17:54  	00:05:40  	47.1    	58.7    
	2017-06-25  	09:17:55  	00:05:41  	47.5    	58.7    
	2017-06-25  	09:17:56  	00:05:42  	48.2    	58.7    
	2017-06-25  	09:17:57  	00:05:43  	48.1    	58.6    
	2017-06-25  	09:17:58  	00:05:44  	47.5    	58.6    
	2017-06-25  	09:17:59  	00:05:45  	46.9    	58.6    
